Name,Address,"Second address",City,Zipcode,State,Country,"Main Phone","Secondary Phone",Fax,Email,Description,Image,Category,URL,"VAT ID","Tax ID","Chamber of Commerce","Business type","Location logo","Is Postal Address","Custom Marker","Has Multiple Opening Hours","Opening hours monday from","Opening hours monday to","Opening hours monday second from","Opening hours monday second to","Opening hours tuesday from","Opening hours tuesday to","Opening hours tuesday second from","Opening hours tuesday second to","Opening hours wednesday from","Opening hours wednesday to","Opening hours wednesday second from","Opening hours wednesday second to","Opening hours thursday from","Opening hours thursday to","Opening hours thursday second from","Opening hours thursday second to","Opening hours friday from","Opening hours friday to","Opening hours friday second from","Opening hours friday second to","Opening hours saturday from","Opening hours saturday to","Opening hours saturday second from","Opening hours saturday second to","Opening hours sunday from","Opening hours sunday to","Opening hours sunday second from","Opening hours sunday second to"
albuquerque-87110,"6565 Americas Parkway NE",,Albuquerque,NM,87110,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
albuquerque-nm-87110,"6565 Americas Parkway NE",,Albuquerque,NM,87110,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
albuquerque-nm-87110,"6565 Americas Parkway NE",,Albuquerque,NM,87110,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
alpharetta-30004,"12600 Deerfield Parkway",,Alpharetta,GA,30004,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
alpharetta-ga-30004,"12600 Deerfield Parkway",,Alpharetta,GA,30004,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
alpharetta-ga-30004,"12600 Deerfield Parkway",,Alpharetta,GA,30004,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
anchorage-99501,"420 L Street",,Anchorage,AK,99501,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
anchorage-ak-99501,"420 L Street",,Anchorage,AK,99501,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
anchorage-ak-99501,"420 L Street",,Anchorage,AK,99501,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
ann_arbor-48104,"101 North Main Street",,"Ann Arbor",MI,48104,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
ann_arbor-mi-48104,"101 North Main Street",,"Ann Arbor",MI,48104,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
ann_arbor-mi-48104,"101 North Main Street",,"Ann Arbor",MI,48104,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
atlanta-30303,"101 Marietta Street",,Atlanta,GA,30303,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
atlanta-30303-2,"191 Peachtree Street NE",,Atlanta,GA,30303,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
atlanta-30303-3,"225 Peachtree Street NE",,Atlanta,GA,30303,USA,866-976-5669,,https://custommortgageinc.com,,,,,,,,,,,,,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,,closed,,,
